test_id,number,problem,choice_1,choice_2,choice_3,choice_4,choice_5,answer
KSAT_2024_10_고3_화학Ⅰ,5,"다음은 A(aq)을 만드는 실험이다. A의 화학식량은 180이다.
(가) 물에 A(s)를 녹여 aM A(aq) 100 mL를 만든다.
(나) aM A(aq) 20 mL에 물을 넣어 0.06 M A(aq) 100 mL를 만든다.
(다) (나)에서 만든 A(aq) 50 mL에 A(s) w g을 모두 녹인 후, 물을 넣어 0.04 M A(aq) 200 mL를 만든다.

이에 대한 설명으로 옳은 것은? (단, 수용액의 온도는 t℃로 일정하다.) [3점]",① 1,② 2,③ 3,④ 4,⑤ 5,3
KSAT_2024_10_고3_화학Ⅰ,9,"표는 실린더에 A₂(g)와 BC₃(g)를 넣고 반응을 완결시켰을 때, 반응 전과 후 실린더에 들어 있는 모든 물질에 대한 자료이다. 반응물과 생성물은 모두 기체이다. 8×k는?(단, A~C는 임의의 원소 기호이고, 실린더 속 기체의 온도와 압력은 일정하다.) [3점]",① 1/4,② 2/3,③ 3/1,④ 3/2,⑤ 5/2,1
KSAT_2024_10_고3_화학Ⅰ,16,"다음은 X₂Oⁿ⁻과 YO₃⁻의 산화 환원 반응에 대한 자료이다. 반응물과 생성물에서 산소(O)의 산화수는 모두 -2이다.
○ 화학 반응식
aX₂Oⁿ⁻ + bYO₃⁻ + cH⁺ → dXO₂ + eY²⁺ + fH₂O (a~f는 반응 계수)
○ X₂Oⁿ⁻ 1 mol이 반응하면 Y²⁺ 0.4 mol이 생성된다.

n × e/a 는? (단, X와 Y는 임의의 원소 기호이다.) [3점]",① 5/8,② 5/4,③ 15/8,④ 5/2,⑤ 7/2,2
KSAT_2024_10_고3_화학Ⅰ,19,"표는 a M HCl(aq), b M H₂A(aq), c M KOH(aq)을 혼합한 용액 (가)~(다)에 대한 자료이다. (나)의 액성은 중성이다.

Xb+c / b+c 는? (단, 수용액에서 H₂A는 H⁺과 A²⁻으로 모두 이온화되고, 혼합 용액의 부피는 혼합 전 각 용액의 부피의 합과 같으며, 물의 자동 이온화는 무시한다.) [3점]",① 5/2,② 4,③ 5,④ 20/3,⑤ 8,3
KSAT_2024_10_고3_화학Ⅰ,20,"다음은 A(g)와 B(g)가 반응하여 C(g)를 생성하는 반응에 대한 실험이다.

[화학 반응식]
aA(g) + B(g) → cC(g) (a, c는 반응 계수)

[실험 과정]
○ B(g) 8w g이 들어 있는 실린더에 A(g)의 질량을 달리하여 넣고 반응을 완결시킨다.

[실험 결과]
○ 넣어 준 A(g)의 질량에 따른 반응 후 전체 기체의 밀도
○ A(g) 14w g을 넣었을 때 반응 후 실린더에는 생성물만 존재한다.

x / (B의 분자량 / A의 분자량) 은? (단, 실린더 속 기체의 온도와 압력은 일정하다.) [3점]",① 38/7,② 40/7,③ 72/7,④ 76/7,⑤ 80/7,5
KSAT_2021_07_고3_화학Ⅱ,1,"다음은 어떤 용액에 대한 설명이다.
(가)은 약산과 그 약산의 짝염기가 섞여 있는 수용액이거나 약염기와 그 약염기의 짝산이 섞여 있는 수용액으로 소량의 산이나 염기를 넣어도 pH가 크게 변하지 않는다.
(가)로 가장 적절한 것은?",완충 용액,표준 용액,과포화 용액,포화 용액,불포화 용액,1
KSAT_2021_07_고3_화학Ⅱ,10,"표는 1 atm에서 X(aq) (가)와 (나)에 대한 자료이다.
X (aq) (가) (나)
용질의 질량(g) w 4w
어는점 내림(℃) k 6k
1 atm에서 (가)와 (나)를 혼합한 수용액의 어는점 내림(℃)은? (단, 용질은 비휘발성, 비전해질이고, 수용액은 라울 법칙을 따른다.) [3점]",12k,2.3k,3.5k,4k,4.5k,2
KSAT_2021_07_고3_화학Ⅱ,19,"다음은 A(g)로부터 B(g)와 C(g)가 생성되는 반응의 화학 반응식과 반응 속도식이다.
2A(g) → bB(g) + C(g) (b는 반응 계수)
v = k[A] (k는 반응 속도 상수)
표는 A(g)만 들어 있는 강철 용기에서 반응이 진행될 때, 반응 시간에 따른 [생성물의 몰 농도]/[반응물의 몰 농도] 와 용기 내 전체 기체의 압력에 대한 자료이다. X, Y는 각각 B(g), C(g) 중 하나이다.
반응 시간(min) t 2t 3t
[X]/[A] 1/2 x y
[Y]/[A] 2 2 2
용기 내 전체 기체의 압력(atm) 2 5/2 2
b는? (단, 온도는 일정하다.) [3점]",2,5/2,7/3,4,5/2,4
KSAT_2022_07_고3_화학Ⅰ,1,"[MultiModal] 다음은 어떤 제품의 광고와 이에 대한 학생과 선생님의 대화이다.
- 봉지를 뜯고 찬물을 부어 주세요! 어디서든 음식을 데울 수 있습니다!
- 학생: 봉지 안에 찬물을 부었는데 어떻게 음식이 데워질 수 있어요?
- 선생님: 봉지 안에는 산화 칼슘(CaO)이 들어 있어요. 물(H₂O)을 부으면 산화 칼슘과 물이 반응해서 열이 발생하는데, 그 열로 음식이 데워질 수 있는 거예요.
- 학생: 산화 칼슘과 물의 반응은 주위로 열을 방출하는 반응이므로 (ㄱ) 반응이겠군요.
(ㄱ)으로 가장 적절한 것은?",발열,산화,연소,중화,흡열,1
KSAT_2022_07_고3_화학Ⅰ,2,"다음은 질산 암모늄(NH₄NO₃) 분해 반응의 화학 반응식이다.
αNH₄NO₃ → N₂O + 2H₂O (α는 반응 계수)
이 반응에서 생성된 H₂O의 양이 1 mol일 때 반응한 NH₄NO₃의 양(mol)은?",1/4,1/3,1/2,1,2,2
