test_id,number,problem,choice_1,choice_2,choice_3,choice_4,choice_5,answer
KSAT_2023_10_고3_경제,2,"[MultiModal] 경제 체제 A, B에 대한 설명으로 옳은 것은? (단, A, B는 각각 계획 경제 체제와 시장 경제 체제 중 하나임.)
--- A에서 이와 같은 장면이 나타날 경우, 빵 가격이 올라가거나 새로운 제과점이 근처에 생겨날 수도 있습니다. A에서는 B와 달리 '보이지 않는 손'에 의해 경제 문제를 해결합니다.",A에서는 민간 경제 주체의 자유로운 경쟁을 강조한다.,B에서는 생산 수단의 사적 소유를 보장한다.,A에서는 B와 달리 경제 문제 해결 과정에서 형평성을 중시한다.,B에서는 A와 달리 경제적 유인 체계를 중시한다.,B에서는 A와 달리 자원의 희소성에 따른 경제 문제가 발생하지 않는다.,1
KSAT_2023_10_고3_경제,4,"다음 자료에 대한 설명으로 옳은 것은? [3점]
--- 표는 X재 1개에 대한 소비자 갑~정의 최대 지불 용의 금액과 생산자 A~D의 최소 요구 금액을 표시한 것이다. 단, X재 시장 참여자는 갑~정, A~D가 전부이며, 모든 시장 참여자는 거래가 이루어질 경우 X재 1개씩만 거래한다.

[표] 소비자 최대 지불 용의 금액(원)
갑: 300, 을: 400, 병: 500, 정: 600

생산자 최소 요구 금액(원)
A: 400, B: 500, C: 600, D: 700","X재 균형 가격은 500원, 균형 거래량은 3개이다.",X재 가격이 500원일 때 총잉여는 200원이다.,X재 가격이 600원일 때 초과 공급량은 1개이다.,X재 가격이 600원일 때 D는 B와 달리 거래에 참여한다.,X재 가격이 400원일 때 거래에 참여하는 소비자는 갑과 을이다.,2
KSAT_2023_10_고3_경제,6,"다음 대화의 갑, 을이 지지할 경제 안정화 정책의 내용으로 옳은 것은?
--- 갑: 현재 물가가 매우 높은 상황입니다. 물가 안정을 위해 중앙은행이 나서서 통화량을 조절해야 합니다.
을: 물가 안정이라는 정책 목표에는 동의하지만, 현시점에서는 재정 정책을 시행해야 한다고 생각합니다.","지급 준비율 인상, 국공채 매입","기준 금리 인상, 소득세율 인상","정부 지출 축소, 기준 금리 인상","소득세율 인하, 지급 준비율 인하","국공채 매입, 정부 지출 축소",2
KSAT_2023_10_고3_경제,8,"[MultiModal] 다음 자료에서 과제에 대한 답이 모두 옳은 학생은?
--- ○과제 : 고용 지표에 대한 진술이 맞으면 '○', 틀리면 'X'로 표시하시오.

[표] 학생의 답

진술 | 갑 | 을 | 병 | 정 | 무

실업자가 없고 고용률이 70%이면 경제 활동 참가율은 70%이다. | X | X | O | O | O

경제 활동 참가율이 80%, 고용률이 40%이면 실업률은 40%이다. | X | O | X | O | X

실업률과 실업자 수를 알면 비경제 활동 인구를 산출할 수 있다. | O | X | O | X | X",갑,을,병,정,무,5
KSAT_2023_10_고3_경제,12,"다음 자료는 t년 한 해 동안 갑국에서 발생한 모든 경제 활동을 나타낸다. 이에 대한 분석으로 옳은 것은? [3점]
--- 목재 생산과 가구 제작으로 유명한 갑국은 가구 제작용 기계를 외국에서 1만 달러어치 수입하였고, 목재 생산을 위해 을국 노동자를 고용하여 임금으로 3만 달러를 지급하였다. ㉠ 생산된 목재 중 일부는 해외에 2만 달러어치 수출하였고 나머지는 가구 제작에 사용하였다. 갑국에서 생산된 가구는 모두 최종재로 판매되었고, 금액은 총 10만 달러이다. 이 중 절반은 ㉡ 병국에 수출하여 벌어들인 금액이다.",㉠은 갑국의 t년 지출 국민 소득 중 소비 지출에 해당한다.,㉡은 을국의 t년 국내 총생산에 포함된다.,㉠은 갑국의 t년 국내 총생산에 포함되지 않는다.,㉠㉡은 병국의 t년 순수출을 증가시킨다.,갑국의 t년 국내 총생산은 12만 달러이다.,5
KSAT_2023_10_고3_경제,13,"표는 갑국의 연도별 경상 수지를 항목별로 나타낸다. 이에 대한 분석으로 옳은 것은? (단, 2022년의 경상 수지 흑자 규모는 2021년에 비해 20% 증가함.) [3점]
--- (단위 : 억 달러)

[표] 구분 | 상품 수지 | 서비스 수지 | 본원 소득 수지 | (가)
2021년 | 50 | 20 | 0 | 15
2022년 | 80 | 30 | -10 | 20",㉠은 '5'이다.,차관 도입액이 포함되는 항목은 (가)이다.,해외 무상 원조액이 포함되는 항목은 2022년에 적자이다.,지식 재산권 사용료가 포함되는 항목은 2021년과 2022년 모두 흑자이다.,해외 주식 투자에 따른 배당금이 포함되는 항목은 2022년에 외화 유입액이 유출액보다 많다.,4
KSAT_2023_10_고3_경제,14,"다음 자료에 대한 분석으로 옳은 것은? [3점]
--- A 기업은 비자동화 방식으로 X재를 생산하고 있다. 표는 한 달간 X재 각 생산량 수준에서의 생산직 노동 고용량을 나타낸다. 생산직 노동자 1명당 월 급여는 300만 원이다.

[표] 생산량(개) | 생산직 노동 고용량(명)
1 | 2
2 | 3
3 | 4
4 | 6
5 | 8
6 | 11

한편, A 기업은 자동화 생산 방식으로의 전환을 고려하고 있다. 생산직 노동자를 전부 대체할 수 있는 자동화 장비의 임차료는 월 1,500만 원이다. 자동화 장비는 운용 인력이 필요하며, 생산량이 3개 이하일 경우 1명, 4개 이상일 경우 2명을 고용해야 한다. 장비 운용 인력 1명당 월 급여는 500만 원이다. 단, X재 시장 가격은 500만 원으로 일정하고, X재는 최대 6개까지 생산할 수 있으며, 생산된 X재는 전량 판매된다. 제시된 비용 이외의 비용은 없다.",비자동화 방식의 경우 이윤이 극대화되는 생산량은 4개이다.,자동화 방식의 경우 생산량이 4개 이상이면 이윤이 발생한다.,자동화 방식의 경우 생산량 증가에 따라 총비용은 지속적으로 증가한다.,생산량이 5개일 때 총비용은 비자동화 방식의 경우가 자동화 방식보다 크다.,자동화 방식으로 달성 가능한 월 최대 이윤과 비자동화 방식으로 달성 가능한 월 최대 이윤의 차이는 200만 원이다.,5
KSAT_2023_10_고3_경제,16,"다음 자료에 대한 분석으로 옳은 것은?
--- 갑은 만두, 김밥 중 하나를 선택하려고 한다. 갑이 만두로 얻는 편익은 8천 원, 김밥으로 얻는 편익은 5천 원이다. 만두 가격은 4천 원이고, 김밥 가격은 (가), (나) 중 하나이다.

[표] 구분 | 가격
(가) | 2천 원
(나) | 3천 원",(가)의 경우 김밥 선택의 순편익은 3천 원이다.,(가)의 경우 김밥 선택의 암묵적 비용은 2천 원이다.,(나)의 경우 만두 선택의 기회비용은 6천 원이다.,만두 선택의 순편익은 (가)의 경우가 (나)의 경우보다 크다.,"(가), (나)의 경우 모두 기회비용은 김밥 선택이 만두 선택보다 크다.",3
KSAT_2023_10_고3_경제,18,"다음 자료에 대한 분석으로 옳은 것은?
--- 표는 갑의 9월 수입 및 지출 항목별 금액의 비중을 나타낸다. 갑의 월급은 300만 원이며, 비소비 지출은 60만 원이다.

[표] 수입 항목 | 비중(%) | 지출 항목 | 비중(%)
월급 | 50 | 식료품비 | 50
건물 임대료 | 30 | 대출 이자 | 20
복권 당첨금 | 10 | 이동 통신비 | 10
주식 배당금 | 10 | 사회 보험료 | 20

* 처분 가능 소득 = 소득 - 비소비 지출",수입은 지출의 4배이다.,이전 소득은 60만 원이다.,재산 소득은 180만 원이다.,비경상 소득은 30만 원이다.,처분 가능 소득은 240만 원이다.,1
KSAT_2021_04_고3_한국지리,1,"[MultiModal] 지도에 나타난 변화가 현실화될 때, 우리나라에서 나타날 현상에 대한 추론으로 옳은 것은?",봄꽃의 개화 시기가 빨라질 것이다.,냉대림의 분포 면적이 확대될 것이다.,한류성 어종의 어획량이 증가할 것이다.,해안 저지대의 침수 가능성이 낮아질 것이다.,열대야와 열대일의 발생 일수가 감소할 것이다.,1
