test_id,number,problem,choice_1,choice_2,choice_3,choice_4,choice_5,answer
KSAT_2022_11_수능_영어,21,밑줄 친 make oneself public to oneself가 다음 글에서 의미하는 바로 가장 적절한 것은?,use writing as a means of reflecting on oneself,build one's identity by reading others' diaries,exchange feedback in the process of writing,create an alternate ego to present to others,develop topics for writing about selfhood,1
KSAT_2022_11_수능_영어,28,2022 Valestown Recycles Poster Contest에 관한 다음 안내문의 내용과 일치하는 것은?,Valestown의 모든 학생들이 참여할 수 있다.,참가자는 포스터의 주제 선정에 제약을 받지 않는다.,출품할 파일 양식은 자유롭게 선택 가능하다.,심사 기준에 창의성이 포함된다.,1인당 출품할 수 있는 포스터의 수에는 제한이 없다.,4
KSAT_2022_11_수능_영어,40,"다음 글의 내용을 한 문장으로 요약하고자 한다. 빈칸 (A), (B)에 들어갈 말로 가장 적절한 것은?",persisted - limit,persisted - accelerate,evolved - cultivate,diminished - shape,diminished - restrict,1
KSAT_2021_09_고3_영어,18,"다음 글의 목적으로 가장 적절한 것은?
Dear Mr. Bernstein, My name is Thomas Cobb, the marketing director of Calbary Hospital. Our hospital is planning to hold a charity concert on September 18th in the Main Hall of our hospital. We expect it to be helpful in raising money to cover the medical costs of those in need. To make the concert more special, we want to invite you for the opening of the concert. Your reputation as a pianist is well known, and everyone will be very happy to see your performance. Beautiful piano melodies will help create an enjoyable experience for the audience. We look forward to your positive reply. Sincerely, Thomas A. Cobb",의료비 지원이 필요한 이들을 위한 기부를 독려하려고,자선 음악회 연주자로 참여해 줄 것을 요청하려고,피아노 독주회 관람 신청 방법을 문의하려고,병원 개관 기념행사 참가 방법을 안내하려고,병원 진료 시간이 변경된 것을 알려 주려고,2
KSAT_2021_09_고3_영어,19,"다음 글에 드러난 David의 심경 변화로 가장 적절한 것은?
As he stepped onto the basketball court, David suddenly thought of the day he had gotten injured last season and froze. He was not sure if he could play as well as before the injury. A serious wrist injury had caused him to miss the rest of the season. Remembering the surgery, he said to himself, “I thought my basketball career was completely over.” However, upon hearing his fans’ wild cheers, he felt his body coming alive and thought, “For sure, my fans, friends, and family are looking forward to watching me play today.” As soon as the game started, he was filled with energy. The first five shots he attempted went in the basket. “I’m back! I got this,” he shouted.",disappointed → unhappy,excited → indifferent,anxious → confident,impatient → calm,eager → ashamed,3
KSAT_2021_09_고3_영어,20,"다음 글에서 필자가 주장하는 바로 가장 적절한 것은?
We live in a time when everyone seems to be looking for quick and sure solutions. Computer companies have even begun to advertise ways in which computers can replace parents. They are too late—television has already done that. Seriously, however, in every branch of education, including moral education, we make a mistake when we suppose that a particular batch of content or a particular teaching method or a particular configuration of students and space will accomplish our ends. The answer is both harder and simpler. We, parents and teachers, have to live with our children, talk to them, listen to them, enjoy their company, and show them by what we do and how we talk that it is possible to live appreciatively or, at least, nonviolently with most other people.",교육은 일상에서 아이들과의 상호 작용을 통해 이루어져야 한다.,도덕 교육을 강화하여 타인을 배려하는 공동체 의식을 높여야 한다.,텔레비전의 부정적 영향을 줄이려는 사회적 노력이 있어야 한다.,다양한 매체를 활용하여 학교와 가정 교육의 한계를 보완해야 한다.,아이들의 온라인 예절 교육을 위해 적절한 콘텐츠를 개발해야 한다.,1
KSAT_2021_09_고3_영어,21,"밑줄 친 Flicking the collaboration light switch가 다음 글에서 의미하는 바로 가장 적절한 것은?
Flicking the collaboration light switch is something that leaders are uniquely positioned to do, because several obstacles stand in the way of people voluntarily working alone. For one thing, the fear of being left out of the loop can keep them glued to their enterprise social media. Individuals don't want to be or appear to be—isolated. For another, knowing what their teammates are doing provides a sense of comfort and security, because people can adjust their own behavior to be in harmony with the group. It's risky to go off on their own to try something new that will probably not be successful right from the start. But even though it feels reassuring for individuals to be hyperconnected, it's better for the organization if they periodically go off and think for themselves and generate diverse—if not quite mature—ideas. Thus, it becomes the leader’s job to create conditions that are good for the whole by enforcing intermittent interaction even when people wouldn't choose it for themselves, without making it seem like a punishment.",breaking physical barriers and group norms that prohibit cooperation,having people stop working together and start working individually,encouraging people to devote more time to online collaboration,shaping environments where higher productivity is required,requiring workers to focus their attention on group projects,2
KSAT_2021_09_고3_영어,22,"다음 글의 요지로 가장 적절한 것은?
Historically, the professions and society have engaged in a negotiating process intended to define the terms of their relationship. At the heart of this process is the tension between the professions' pursuit of autonomy and the public’s demand for accountability. Society’s granting of power and privilege to the professions is premised on their willingness and ability to contribute to social well-being and to conduct their affairs in a manner consistent with broader social values. It has long been recognized that the expertise and privileged position of professionals confer authority and power that could readily be used to advance their own interests at the expense of those they serve. As Edmund Burke observed two centuries ago, “Men are qualified for civil liberty in exact proportion to their disposition to put moral chains upon their own appetites.” Autonomy has never been a one-way street and is never granted absolutely and irreversibly.",전문직에 부여되는 자율성은 그에 상응하는 사회적 책임을 수반한다.,전문직의 권위는 해당 집단의 이익을 추구하는 데 이용되어 왔다.,전문직의 사회적 책임을 규정할 수 있는 제도 정비가 필요하다.,전문직이 되기 위한 자격 요건은 사회 경제적 요구에 따라 변화해 왔다.,전문직의 업무 성과는 일정 수준의 자율성과 특권이 부여될 때 높아진다.,1
KSAT_2021_09_고3_영어,23,"다음 글의 주제로 가장 적절한 것은?
In Kant’s view, geometrical shapes are too perfect to induce an aesthetic experience. Insofar as they agree with the underlying concept or idea—thus possessing the precision that the ancient Greeks sought and celebrated—geometrical shapes can be grasped, but they do not give rise to emotion, and, most importantly, they do not move the imagination to free and new (mental) lengths. Forms or phenomena, on the contrary, that possess a degree of immeasurability, or that do not appear constrained, stimulate the human imagination—hence their ability to induce a sublime aesthetic experience. The pleasure associated with experiencing immeasurable objects—indefinable or formless objects—can be defined as enjoying one’s own emotional and mental activity. Namely, the pleasure consists of being challenged and struggling to understand and decode the phenomenon present to view. Furthermore, part of the pleasure comes from having one’s comfort zone (momentarily) violated.",diversity of aesthetic experiences in different eras,inherent beauty in geometrically perfect shapes,concepts of imperfection in modern aesthetics,natural inclination towards aesthetic precision,aesthetic pleasure from things unconstrained,5
KSAT_2021_09_고3_영어,24,"다음 글의 제목으로 가장 적절한 것은?
The world has become a nation of laws and governance that has introduced a system of public administration and management to keep order. With this administrative management system, urban institutions of government have evolved to offer increasing levels of services to their citizenry, provided through a taxation process and/or fee for services (e.g., police and fire, street maintenance, utilities, waste management, etc.). Frequently this has displaced citizen involvement. Money for services is not a replacement for citizen responsibility and public participation. Responsibility of the citizen is slowly being supplanted by government being the substitute provider. Consequentially, there is a philosophical and social change in attitude and sense of responsibility of our urban-based society to become involved. The sense of community and associated responsibility of all citizens to be active participants is therefore diminishing. Governmental substitution for citizen duty and involvement can have serious implications. This impedes the nations of the world to be responsive to natural and man-made disasters as part of global preparedness.",A Sound Citizen Responsibility in a Sound Government,Always Better than Nothing: The Roles of Modern Government,Decreased Citizen Involvement: A Cost of Governmental Services,Why Does Global Citizenship Matter in Contemporary Society?,How to Maximize Public Benefits of Urban-Based Society,3
