test_id,number,problem,choice_1,choice_2,choice_3,choice_4,choice_5,answer
KSAT_2022_09_고3_한국사,2,"다음 시무책이 제출된 나라에 대한 설명으로 옳은 것은? --- 지방관을 파견해야 합니다. 우리 태조께서도 후삼국을 통일한 후에 지방관을 파견하고자 하셨지만, 사정이 있어 그러지 못했습니다. ……(중략)… 한 번에 모든 곳에 파견할 수는 없더라도, 먼저 십여 개의 고을을 묶어서 그중 하나에 관아를 설치하고 두세 명의 관원을 보내 백성들을 살피게 하십시오.",9주 5소경을 두었다.,주현과 속현이 있었다.,전국을 8도로 나누었다.,면 협의회를 운영하였다.,5경 15부 62주를 설치하였다.,2
KSAT_2022_09_고3_한국사,3,"밑줄 친 '전쟁' 중에 있었던 사실로 옳은 것은? --- 을유년 1월 계미일에 몽골 사신이 압록강을 건너 돌아가다가 도적에게 죽임을 당하였다. 신묘년 8월 임오일에 몽골이 이를 구실로 전쟁을 시작하였다. 신해년 9월 임오일에 새로 만든 팔만대장경판에 분향하였다. 몽골과의 전쟁이 이어지던 중 임진년에 초조대장경판이 불타 없어져 새로운 대장경판을 만들고자 하였는데, 16년 만에 완성한 것이다.",대가야가 멸망하였다.,수도가 강화도로 옮겨졌다.,미쓰야 협정이 체결되었다.,인천 상륙 작전이 전개되었다.,황국 중앙 총상회가 조직되었다.,2
KSAT_2022_09_고3_한국사,4,[MultiModal](가) 국가에 대한 설명으로 옳은 것은? --- 이것은 임신서기석입니다. (가)의 젊은이들이 나라를 위해 힘쓸 것과 유교 경전을 열심히 공부할 것을 맹세한 내용이 새겨져 있습니다. 이를 통해 당시 유학이 보급되었음을 알 수 있습니다. 나라가 불안하고 세상이 어지러우면 행동할 것을 맹세.,국학을 두었다.,신흥 강습소를 세웠다.,원산 학사를 건립하였다.,육영 공원을 운영하였다.,한성 사범 학교를 설립하였다.,1
KSAT_2022_09_고3_한국사,5,"[MultiModal]밑줄 친 '국왕'에 대한 설명으로 옳은 것은? --- 조선 왕릉 이야기. 선릉 이야기: 제9대 국왕과 왕비의 능이다. 그는 학문을 장려했던 군주로 집현전을 계승한 홍문관을 설치하였고, 3사 언관직 중심으로 사림을 등용하였다. 선릉은 임진왜란 때 일본군에 의해 파헤쳐졌으며, 인조 때 정자각과 능침에 불이 나는 등 수난을 겪었다.",홍범 14조를 반포하였다.,통리기무아문을 두었다.,경국대전을 완성하였다.,집사부를 설치하였다.,훈요 10조를 남겼다.,3
KSAT_2022_09_고3_한국사,6,"[MultiModal] (가)에 들어갈 내용으로 가장 적절한 것은? --- 학습 주제: (가) 몰락한 양반은 농업, 수공업 등에 종사하며 상민과 비슷한 처지가 되었어. 서얼들은 차별 철폐 운동을 꾸준히 전개하였지. 일부 상민들은 다양한 방법으로 양반 신분을 획득하려고 하였어.",신라 골품제의 모순,고려 전기 문벌 사회의 특징,고려 무신 정권 시기 하층민의 봉기,조선 후기 신분 질서의 동요,일제 강점기 형평 운동의 의의,4
KSAT_2022_09_고3_한국사,8,[MultiModal]밑줄 친 '장정'에 대한 설명으로 옳은 것은? --- 3단계 힌트까지 나왔습니다. 이 장정은 무엇일까요? 퀴즈! 한국사. 1단계 조선과 일본 사이에 체결. 2단계 일본에 최혜국 대우를 인정. 3단계 관세 조항을 포함한 장정.,집강소 설치의 근거가 되었다.,원산 총파업의 원인이 되었다.,거중 조정의 내용을 담고 있다.,통감이 부임하는 계기가 되었다.,방곡령 시행을 미리 통지할 것이 규정되었다.,5
KSAT_2022_09_고3_한국사,9,"[MultiModal](가)에 들어갈 내용으로 가장 적절한 것은? --- 풍자화로 보는 한국 근대사. 일본, 러시아, 독일, 프랑스. 전쟁의 전리품. 이 그림은 일본이 청일 전쟁의 전리품으로 랴오둥반도를 차지하려 하자 러시아가 독일, 프랑스와 함께 일본을 압박한 사건을 풍자한 것이다. 이 사건으로 인해 일본은 랴오둥반도의 영유권을 포기해야 하였고, 이를 본 조선 정부는 러시아를 끌어 들여 일본을 견제하려 하였다. 이에 러시아의 위세에 눌려 조선 내 영향력이 줄어든 일본은 불만을 품고 (가).",외규장각 도서를 약탈하였다.,치안 유지법을 제정하였다.,간도 협약을 체결하였다.,을미사변을 일으켰다.,거문도를 점령하였다.,4
KSAT_2022_09_고3_한국사,10,"밑줄 친 '집회'에 대한 설명으로 옳은 것은? --- 한국사 신문. 대신들, 백성의 목소리를 듣다! 지난 29일 독립 협회가 주최한 대규모 집회가 열렸다. 독립 협회는 현재의 국가적 위기 상황으로부터 벗어날 방법을 논의하기 위해 집회를 계획하고 각계각층에 150통 이상의 초청장을 발송한 바 있다. 이 자리에 의정부 참정 박정양을 비롯한 여러 전현임 대신들도 황제 폐하의 명령에 따라 참석하여 백성의 목소리를 들었다.",헌의 6조를 채택하였다.,서경 천도를 주장하였다.,신군부의 퇴진을 요구하였다.,민립 대학 설립을 추진하였다.,창조파와 개조파가 대립하였다.,1
KSAT_2022_09_고3_한국사,11,"[MultiModal](가) 단체에 대한 설명으로 옳은 것은? --- 박물관 광복절 특별전 도록. 박상진의 옥중 편지. 작성 연도: 1918년. 크기: 32.8x14cm. 재질: 종이. 상세 정보: 박상진은 국권 회복을 목표로 군자금 모금, 무관 학교 설립 등을 추진한 비밀 결사 (가)의 총사령이었다. 이 편지는 그가 공주 감옥 수감 중에 가족들에게 보낸 것으로, 친일 부호 처단 사건으로 재판을 받게 되자 변호사를 선임해 달라는 내용을 담고 있다.",105인 사건으로 탄압받았다.,공화정의 수립을 지향하였다.,광주 학생 항일 운동을 지원하였다.,상하이 홍커우 공원에서 의거를 일으켰다.,일본의 황무지 개간권 요구를 좌절시켰다.,2
KSAT_2022_09_고3_한국사,12,[MultiModal]밑줄 친 '이 사건'에 대한 설명으로 옳은 것은? --- 지도는 이 사건의 전개 과정을 보여 주고 있습니다. 이 사건으로 인해 제물포 조약이 체결되어 일본 공사관의 경비를 위한 일본군 주둔이 허용되었습니다.,청군이 개입하여 진압되었다.,동학 교조의 신원을 요구하였다.,단발령 시행에 대한 불만으로 일어났다.,고종이 강제 퇴위당하는 빌미가 되었다.,국가 재건 최고 회의를 설치하는 계기가 되었다.,1
